OFFER_DATE,GENDER,AGE_GROUP,ESTABLISHED_YEAR,REGION,INDUSTRY_CD,INDUSTRY_NM,EMPLOYEE_NUM
202208,남성,50대,2005,충청북도 충주시,42,전문직별 공사업,1명 이상 5명 미만
202208,남성,50대,2010,충청북도 충주시,26,전자 부품  컴퓨터  영상  음향 및 통신장비 제조업,1명 이상 5명 미만
202208,남성,40대,2007,충청북도 충주시,47,소매업; 자동차 제외,1명 이상 5명 미만
202208,남성,60대,1999,충청북도 충주시,25,금속가공제품 제조업; 기계 및 가구 제외,0명
202208,남성,50대,2005,충청북도 충주시,46,도매 및 상품 중개업,1명 이상 5명 미만
202208,남성,60대,1999,충청북도 충주시,46,도매 및 상품 중개업,1명 이상 5명 미만
202208,남성,40대,2016,충청북도 충주시,49,육상 운송 및 파이프라인 운송업,1명 이상 5명 미만
202208,여성,60대,2018,충청북도 충주시,56,음식점 및 주점업,1명 이상 5명 미만
202208,남성,60대,2010,충청북도 충주시,46,도매 및 상품 중개업,0명
202208,남성,40대,2016,충청북도 충주시,46,도매 및 상품 중개업,0명
202208,남성,60대,1996,충청북도 충주시,46,도매 및 상품 중개업,1명 이상 5명 미만
202208,남성,50대,2019,충청북도 충주시,47,소매업; 자동차 제외,0명
202208,남성,60대,2013,충청북도 충주시,47,소매업; 자동차 제외,1명 이상 5명 미만
202208,여성,40대,2012,충청북도 충주시,47,소매업; 자동차 제외,0명
202208,남성,50대,2016,충청북도 충주시,35,전기  가스  증기 및 공기 조절 공급업,0명
202208,남성,40대,2019,충청북도 충주시,86,보건업,0명
202208,남성,40대,2019,충청북도 충주시,49,육상 운송 및 파이프라인 운송업,0명
202208,남성,50대,2012,충청북도 충주시,46,도매 및 상품 중개업,1명 이상 5명 미만
202208,남성,50대,2004,충청북도 충주시,95,개인 및 소비용품 수리업,0명
202208,남성,50대,2000,충청북도 충주시,46,도매 및 상품 중개업,1명 이상 5명 미만
202208,여성,50대,2008,충청북도 충주시,46,도매 및 상품 중개업,1명 이상 5명 미만
202208,남성,40대,2016,충청북도 충주시,49,육상 운송 및 파이프라인 운송업,0명
202208,남성,70대,2014,충청북도 충주시,47,소매업; 자동차 제외,1명 이상 5명 미만
202208,남성,30세 미만,2020,충청북도 충주시,56,음식점 및 주점업,0명
202208,남성,60대,2007,충청북도 충주시,49,육상 운송 및 파이프라인 운송업,1명 이상 5명 미만
202208,여성,50대,2018,충청북도 충주시,56,음식점 및 주점업,1명 이상 5명 미만
202208,여성,60대,2015,충청북도 충주시,45,자동차 및 부품 판매업,1명 이상 5명 미만
202208,여성,50대,2016,충청북도 충주시,56,음식점 및 주점업,0명
202208,남성,40대,2021,충청북도 충주시,56,음식점 및 주점업,0명
202208,남성,60대,2019,충청북도 충주시,49,육상 운송 및 파이프라인 운송업,0명
202208,여성,50대,2017,충청북도 충주시,56,음식점 및 주점업,0명
202208,남성,40대,2017,충청북도 충주시,96,기타 개인 서비스업,0명
202208,여성,50대,2015,충청북도 충주시,47,소매업; 자동차 제외,1명 이상 5명 미만
202208,여성,60대,2013,충청북도 충주시,47,소매업; 자동차 제외,1명 이상 5명 미만
202208,남성,40대,2013,충청북도 충주시,47,소매업; 자동차 제외,1명 이상 5명 미만
202208,남성,50대,2021,충청북도 충주시,41,종합 건설업,0명
202208,남성,40대,2010,충청북도 충주시,42,전문직별 공사업,0명
202208,남성,40대,2018,충청북도 충주시,56,음식점 및 주점업,0명
202208,남성,30대,2013,충청북도 충주시,45,자동차 및 부품 판매업,0명
202208,남성,50대,2021,충청북도 충주시,42,전문직별 공사업,0명
202208,남성,60대,2014,충청북도 충주시,49,육상 운송 및 파이프라인 운송업,0명
202208,남성,50대,2004,충청북도 충주시,41,종합 건설업,0명
202208,남성,40대,2017,충청북도 충주시,56,음식점 및 주점업,0명
202208,남성,60대,2015,충청북도 충주시,42,전문직별 공사업,0명
202208,남성,40대,2004,충청북도 충주시,45,자동차 및 부품 판매업,1명 이상 5명 미만
202208,남성,50대,2014,충청북도 충주시,45,자동차 및 부품 판매업,0명
202208,남성,50대,1998,충청북도 충주시,41,종합 건설업,0명
202208,남성,40대,2002,충청북도 충주시,49,육상 운송 및 파이프라인 운송업,0명
202208,남성,40대,2019,충청북도 충주시,96,기타 개인 서비스업,0명
202208,여성,50대,2019,충청북도 충주시,96,기타 개인 서비스업,0명
202208,남성,30대,2017,충청북도 충주시,42,전문직별 공사업,0명
202208,여성,50대,2008,충청북도 충주시,96,기타 개인 서비스업,0명
202208,여성,50대,2013,충청북도 충주시,46,도매 및 상품 중개업,0명
202208,남성,60대,2020,충청북도 충주시,49,육상 운송 및 파이프라인 운송업,0명
202208,남성,50대,2017,충청북도 충주시,41,종합 건설업,1명 이상 5명 미만
202208,남성,40대,2015,충청북도 충주시,56,음식점 및 주점업,0명
202208,남성,50대,2021,충청북도 충주시,49,육상 운송 및 파이프라인 운송업,0명
202208,남성,30대,2017,충청북도 충주시,56,음식점 및 주점업,0명
202208,남성,60대,2017,충청북도 충주시,42,전문직별 공사업,0명
202208,여성,50대,2011,충청북도 충주시,96,기타 개인 서비스업,0명
202208,남성,60대,2017,충청북도 충주시,49,육상 운송 및 파이프라인 운송업,0명
202208,남성,50대,2018,충청북도 충주시,46,도매 및 상품 중개업,0명
202208,여성,40대,2009,충청북도 충주시,46,도매 및 상품 중개업,0명
202208,남성,40대,1986,충청북도 충주시,42,전문직별 공사업,5명 이상 10명 미만
202208,남성,50대,2019,충청북도 충주시,47,소매업; 자동차 제외,0명
202208,남성,40대,2018,충청북도 충주시,96,기타 개인 서비스업,0명
202208,남성,50대,2010,충청북도 충주시,42,전문직별 공사업,0명
202208,남성,50대,2015,충청북도 충주시,41,종합 건설업,1명 이상 5명 미만
202208,여성,50대,2016,충청북도 충주시,56,음식점 및 주점업,0명
202208,남성,50대,2010,충청북도 충주시,49,육상 운송 및 파이프라인 운송업,0명
202208,남성,30대,2022,충청북도 충주시,42,전문직별 공사업,1명 이상 5명 미만
202208,남성,40대,2011,충청북도 충주시,49,육상 운송 및 파이프라인 운송업,0명
202208,여성,40대,2010,충청북도 충주시,56,음식점 및 주점업,0명
202208,여성,50대,2021,충청북도 충주시,56,음식점 및 주점업,1명 이상 5명 미만
202208,남성,30세 미만,2020,충청북도 충주시,56,음식점 및 주점업,0명
202208,남성,40대,2016,충청북도 충주시,45,자동차 및 부품 판매업,0명
202208,남성,40대,2020,충청북도 충주시,96,기타 개인 서비스업,0명
202208,여성,60대,2018,충청북도 충주시,56,음식점 및 주점업,1명 이상 5명 미만
202208,여성,50대,2015,충청북도 충주시,96,기타 개인 서비스업,1명 이상 5명 미만
202208,남성,50대,2006,충청북도 충주시,46,도매 및 상품 중개업,1명 이상 5명 미만
202208,남성,50대,2001,충청북도 충주시,42,전문직별 공사업,0명
202208,남성,30대,2011,충청북도 충주시,47,소매업; 자동차 제외,1명 이상 5명 미만
202208,남성,60대,1998,충청북도 충주시,46,도매 및 상품 중개업,0명
202208,남성,40대,2015,충청북도 충주시,46,도매 및 상품 중개업,0명
202208,남성,40대,2010,충청북도 충주시,49,육상 운송 및 파이프라인 운송업,0명
202208,남성,50대,2014,충청북도 충주시,46,도매 및 상품 중개업,10명 이상 30명 미만
202208,남성,30대,2018,충청북도 충주시,42,전문직별 공사업,0명
202208,여성,50대,2019,충청북도 충주시,47,소매업; 자동차 제외,5명 이상 10명 미만
202208,남성,40대,2019,충청북도 충주시,25,금속가공제품 제조업; 기계 및 가구 제외,0명
202208,여성,40대,2016,충청북도 충주시,47,소매업; 자동차 제외,1명 이상 5명 미만
202208,남성,40대,2018,충청북도 충주시,42,전문직별 공사업,1명 이상 5명 미만
202208,남성,30대,2017,충청북도 충주시,96,기타 개인 서비스업,1명 이상 5명 미만
202208,남성,30대,2016,충청북도 충주시,49,육상 운송 및 파이프라인 운송업,0명
202208,여성,30대,2017,충청북도 충주시,96,기타 개인 서비스업,1명 이상 5명 미만
202208,남성,50대,2005,충청북도 충주시,42,전문직별 공사업,0명
202208,남성,30대,2020,충청북도 충주시,46,도매 및 상품 중개업,0명
202208,남성,50대,2018,충청북도 충주시,46,도매 및 상품 중개업,1명 이상 5명 미만
202208,여성,40대,2016,충청북도 충주시,96,기타 개인 서비스업,0명
202208,여성,50대,2006,충청북도 충주시,56,음식점 및 주점업,0명
202208,여성,50대,2004,충청북도 충주시,56,음식점 및 주점업,0명
202208,남성,40대,2013,충청북도 충주시,45,자동차 및 부품 판매업,0명
202208,여성,40대,2010,충청북도 충주시,46,도매 및 상품 중개업,0명
202208,남성,60대,2011,충청북도 충주시,46,도매 및 상품 중개업,1명 이상 5명 미만
202208,남성,30대,2015,충청북도 충주시,85,교육 서비스업,0명
202208,남성,60대,2018,충청북도 충주시,49,육상 운송 및 파이프라인 운송업,0명
202208,남성,50대,2000,충청북도 충주시,45,자동차 및 부품 판매업,1명 이상 5명 미만
202208,남성,50대,2015,충청북도 충주시,56,음식점 및 주점업,0명
202208,남성,40대,2008,충청북도 충주시,47,소매업; 자동차 제외,0명
202208,남성,40대,2021,충청북도 충주시,45,자동차 및 부품 판매업,1명 이상 5명 미만
202208,남성,60대,2017,충청북도 충주시,49,육상 운송 및 파이프라인 운송업,0명
202208,남성,60대,2013,충청북도 충주시,41,종합 건설업,0명
202208,남성,40대,2020,충청북도 충주시,96,기타 개인 서비스업,0명
202208,남성,30대,2019,충청북도 충주시,56,음식점 및 주점업,0명
202208,여성,50대,2015,충청북도 충주시,56,음식점 및 주점업,1명 이상 5명 미만
202208,남성,50대,2018,충청북도 충주시,45,자동차 및 부품 판매업,1명 이상 5명 미만
202208,남성,40대,2019,충청북도 충주시,95,개인 및 소비용품 수리업,0명
202208,여성,50대,2015,충청북도 충주시,47,소매업; 자동차 제외,0명
202208,남성,50대,2011,충청북도 충주시,41,종합 건설업,0명
202208,남성,50대,2012,충청북도 충주시,45,자동차 및 부품 판매업,1명 이상 5명 미만
202208,남성,40대,2000,충청북도 충주시,42,전문직별 공사업,0명
202208,남성,40대,2012,충청북도 충주시,42,전문직별 공사업,0명
202208,남성,30대,2020,충청북도 충주시,49,육상 운송 및 파이프라인 운송업,1명 이상 5명 미만
202208,남성,60대,2020,충청북도 충주시,49,육상 운송 및 파이프라인 운송업,0명
202208,남성,50대,2022,충청북도 충주시,45,자동차 및 부품 판매업,1명 이상 5명 미만
202208,여성,50대,2004,충청북도 충주시,42,전문직별 공사업,1명 이상 5명 미만
202208,여성,50대,2016,충청북도 충주시,42,전문직별 공사업,0명
202208,남성,30대,2013,충청북도 충주시,45,자동차 및 부품 판매업,0명
202208,남성,60대,2018,충청북도 충주시,49,육상 운송 및 파이프라인 운송업,0명
202208,남성,50대,2018,충청북도 충주시,76,임대업; 부동산 제외,1명 이상 5명 미만
202208,남성,50대,2016,충청북도 충주시,56,음식점 및 주점업,1명 이상 5명 미만
202208,남성,50대,2022,충청북도 충주시,42,전문직별 공사업,1명 이상 5명 미만
202208,남성,50대,2021,충청북도 충주시,49,육상 운송 및 파이프라인 운송업,0명
202208,남성,40대,2015,충청북도 충주시,42,전문직별 공사업,0명
202208,여성,40대,2020,충청북도 충주시,96,기타 개인 서비스업,0명
202208,남성,50대,2021,충청북도 충주시,42,전문직별 공사업,0명
202208,남성,50대,1996,충청북도 충주시,49,육상 운송 및 파이프라인 운송업,1명 이상 5명 미만
202208,여성,40대,2018,충청북도 충주시,47,소매업; 자동차 제외,0명
202208,남성,40대,2020,충청북도 충주시,49,육상 운송 및 파이프라인 운송업,1명 이상 5명 미만
202208,남성,40대,2010,충청북도 충주시,49,육상 운송 및 파이프라인 운송업,1명 이상 5명 미만
202208,여성,60대,2007,충청북도 충주시,45,자동차 및 부품 판매업,0명
202208,남성,40대,2016,충청북도 충주시,96,기타 개인 서비스업,1명 이상 5명 미만
202208,남성,40대,2018,충청북도 충주시,45,자동차 및 부품 판매업,1명 이상 5명 미만
202208,남성,50대,2020,충청북도 충주시,49,육상 운송 및 파이프라인 운송업,0명
202208,남성,30대,2018,충청북도 충주시,47,소매업; 자동차 제외,1명 이상 5명 미만
202208,남성,50대,1996,충청북도 충주시,47,소매업; 자동차 제외,0명
202208,남성,50대,2019,충청북도 충주시,35,전기  가스  증기 및 공기 조절 공급업,0명
202208,남성,30대,2020,충청북도 충주시,86,보건업,0명
202208,여성,50대,2014,충청북도 충주시,46,도매 및 상품 중개업,1명 이상 5명 미만
202208,남성,40대,2014,충청북도 충주시,46,도매 및 상품 중개업,1명 이상 5명 미만
202208,남성,40대,2019,충청북도 충주시,86,보건업,1명 이상 5명 미만
202208,남성,60대,2001,충청북도 충주시,42,전문직별 공사업,1명 이상 5명 미만
202208,남성,50대,2021,충청북도 충주시,25,금속가공제품 제조업; 기계 및 가구 제외,10명 이상 30명 미만
202208,남성,40대,2016,충청북도 충주시,49,육상 운송 및 파이프라인 운송업,0명
202208,남성,50대,2004,충청북도 충주시,46,도매 및 상품 중개업,1명 이상 5명 미만
202208,남성,50대,2008,충청북도 충주시,76,임대업; 부동산 제외,0명
202208,남성,40대,2016,충청북도 충주시,42,전문직별 공사업,0명
202208,남성,40대,2017,충청북도 충주시,45,자동차 및 부품 판매업,0명
202208,남성,50대,2016,충청북도 충주시,49,육상 운송 및 파이프라인 운송업,0명
202208,남성,50대,2021,충청북도 충주시,42,전문직별 공사업,0명
202208,여성,60대,2017,충청북도 충주시,47,소매업; 자동차 제외,1명 이상 5명 미만
202208,여성,60대,2015,충청북도 충주시,56,음식점 및 주점업,1명 이상 5명 미만
202208,남성,30대,2017,충청북도 충주시,86,보건업,1명 이상 5명 미만
202208,여성,60대,2010,충청북도 충주시,56,음식점 및 주점업,0명
202208,남성,40대,2016,충청북도 충주시,45,자동차 및 부품 판매업,0명
202208,남성,40대,2014,충청북도 충주시,49,육상 운송 및 파이프라인 운송업,0명
202208,남성,30대,2017,충청북도 충주시,96,기타 개인 서비스업,0명
202208,남성,50대,2017,충청북도 충주시,41,종합 건설업,0명
202208,남성,60대,2014,충청북도 충주시,56,음식점 및 주점업,0명
202208,남성,30대,2021,충청북도 충주시,96,기타 개인 서비스업,0명
202208,남성,40대,2021,충청북도 충주시,49,육상 운송 및 파이프라인 운송업,0명
202208,남성,50대,1999,충청북도 충주시,45,자동차 및 부품 판매업,1명 이상 5명 미만
202208,남성,50대,1999,충청북도 충주시,47,소매업; 자동차 제외,0명
202208,남성,60대,1990,충청북도 충주시,42,전문직별 공사업,0명
202208,남성,50대,2001,충청북도 충주시,86,보건업,5명 이상 10명 미만
202208,남성,40대,2008,충청북도 충주시,25,금속가공제품 제조업; 기계 및 가구 제외,1명 이상 5명 미만
202208,남성,40대,2020,충청북도 충주시,42,전문직별 공사업,0명
202208,남성,50대,1999,충청북도 충주시,46,도매 및 상품 중개업,1명 이상 5명 미만
202208,남성,50대,2015,충청북도 충주시,42,전문직별 공사업,1명 이상 5명 미만
202208,여성,50대,2015,충청북도 충주시,56,음식점 및 주점업,1명 이상 5명 미만
202208,여성,40대,2015,충청북도 충주시,47,소매업; 자동차 제외,0명
202208,남성,30대,2019,충청북도 충주시,45,자동차 및 부품 판매업,0명
202208,남성,50대,2015,충청북도 충주시,56,음식점 및 주점업,0명
202208,남성,60대,2005,충청북도 충주시,41,종합 건설업,0명
202208,남성,50대,1995,충청북도 충주시,49,육상 운송 및 파이프라인 운송업,0명
202208,남성,50대,2013,충청북도 충주시,49,육상 운송 및 파이프라인 운송업,0명
202208,남성,50대,2015,충청북도 충주시,45,자동차 및 부품 판매업,0명
202208,여성,60대,2020,충청북도 충주시,56,음식점 및 주점업,1명 이상 5명 미만
202208,남성,40대,2021,충청북도 충주시,76,임대업; 부동산 제외,1명 이상 5명 미만
202208,여성,40대,2017,충청북도 충주시,46,도매 및 상품 중개업,0명
202208,남성,50대,2007,충청북도 충주시,47,소매업; 자동차 제외,1명 이상 5명 미만
202208,여성,40대,2016,충청북도 충주시,46,도매 및 상품 중개업,1명 이상 5명 미만
202208,남성,60대,2015,충청북도 충주시,46,도매 및 상품 중개업,0명
202208,남성,50대,2017,충청북도 충주시,46,도매 및 상품 중개업,1명 이상 5명 미만
202208,남성,40대,2013,충청북도 충주시,46,도매 및 상품 중개업,0명
202208,남성,40대,2016,충청북도 충주시,76,임대업; 부동산 제외,1명 이상 5명 미만
202208,여성,50대,2015,충청북도 충주시,56,음식점 및 주점업,0명
202208,남성,50대,2020,충청북도 충주시,85,교육 서비스업,1명 이상 5명 미만
